id,availability,condition,title,description,link,image_link,price,gtin,mpn,brand,item_group_id,google_product_category,color,material,pattern
"1000173613Alt1","in stock","new","LENTES DE SOL REMIX LL ION (BRYAN IGUCHI)","Estilo de Color: Full PrintInspiración de diseño:EL REMIX ESTÁ CONSTRUIDO PARA HACER UNA DECLARACIÓN. UNA LIGERA VARIACIÓN EN NUESTRO MARCO MÁS POPULAR, THE JAM, THE REMIX UTILIZA UN DISEÑO PROGRESIVO QUE CUENTA CON UNA LENTE DE ESCUDO NEGRA PARA UNA PROTECCIÓN 100% UV Y UN ASPECTO RETROFUTURISTA. A PESAR DE LA GRAN COBERTURA, EL REMIX DEPORTE UNA SENSACIÓN LIGERA Y UNA CONSTRUCCIÓN DURADERA PARA LOS QUE ESTÁN EN MOVIMIENTO.Características:RESINA VEGETAL MOLDEADA POR INYECCIÓNLENTE CON ESCUDO DE POLICARBONATO MÚLTIPLEBISAGRA DE ACERO INOXIDABLE DE 5 CAÑONESPROTECCIÓN 100% UV","https://rusty.cl/accesorios-anteojos-remix-ll-ion-bryan-iguchi-1000173613alt1.html","https://rusty.cl/media/catalog/product/5/h/5hg249-ut22_1.jpg","109990.00 CLP","","","Rusty","","","Multicolor","",""
"1000117792Alt1","in stock","new","LENTES DE SOL DRAGON REMIX LL","Material del Lente: PolicarbonatoEstilo de Color: LisoInspiración de diseñoEl remix está construido para hacer una declaración. Una ligera variación en nuestro marco más popular, the jam, the remix utiliza un diseño progresivo que cuenta con un lente de escudo negro para una protección 100% UV y un aspecto retrofuturista. a pesar de la gran cobertura, el remix entrega una sensación ligera y una construcción duradera para los que están en movimiento.Características:Resina Vegetal moldeada por inyecciónLente con escudo de policarbonato múltipleBisagra de acero inoxidable de 5 bisagrasProtección 100% uvPeso Aproximado: 0.120 kgsEstilo: 5HG195-MT21","https://rusty.cl/accesorios-anteojos-remix-ll-black-1000117792alt1.html","https://rusty.cl/media/catalog/product/5/h/5hg195-mt21_1.jpg","109990.00 CLP","","","Rusty","","","","",""
"1000117794Alt1","in stock","new","LENTES DE SOL DRAGON THE JAM LL ION","Material del Lente: PolicarbonatoEstilo de Color: LisoInspiración de diseñoCombinando un estilo deportivo retro con refinamientos verdaderamente únicos, the Jam surgió como un clásico instantáneo para convertirse en nuestra montura más popular. Silueta ​​única con líneas limpias y forma de puente de doble nariz. construido para todos los entornos, el jam está disponible en múltiples estilos flotables h2o. Recubrimientos de lentes hidrofóbicos y oleofóbicos y, por supuesto, material ligero de marco que flote en agua. un estilo debe tener para aquellos que disfrutan de la vida alrededor del agua.Características:Resina Vegetal moldeada por inyecciónBisagra de acero inoxidable de 5 barrilesLente de policarbonato de 6 basesProtección 100% uvPeso Aproximado: 0.120 kgsEstilo: 5HG197-MT21","https://rusty.cl/accesorios-anteojos-the-jam-ll-ion-matte-black-1000234883alt1.html","https://rusty.cl/media/catalog/product/5/h/5hg197-mt21_1.jpg","109990.00 CLP","","","Rusty","","","","",""
"1000153256Alt1","in stock","new","Lentes Sol 5HG268-MT Liso","Material del Lente: PolicarbonatoEstilo de Color: LisoInspiración de diseñoCombinando un estilo deportivo retro con refinamientos verdaderamente únicos, the Jam surgió como un clásico instantáneo para convertirse en nuestra montura más popular. Silueta ​​única con líneas limpias y forma de puente de doble nariz. construido para todos los entornos, el jam está disponible en múltiples estilos flotables h2o. Recubrimientos de lentes hidrofóbicos y oleofóbicos y, por supuesto, material ligero de marco que flote en agua. un estilo debe tener para aquellos que disfrutan de la vida alrededor del agua.Características:Resina Vegetal moldeada por inyecciónBisagra de acero inoxidable de 5 barrilesLente de policarbonato de 6 basesProtección 100% uvPeso Aproximado: 0.120 kgsEstilo: 5HG268-MT21","https://rusty.cl/accesorios-anteojos-the-jam-ll-ion-1000153256alt1.html","https://rusty.cl/media/catalog/product/5/3/532987_1600769788045.jpg","109990.00 CLP","","","Rusty","","","","",""
"1000150235Alt-1","in stock","new","LONGBOARD DUSTER CRUISIN NOMAD 37","- Tamaño 37.0'' x 8.75'' - Cóncavo bajo - Composición de 7 láminas de madera de arce 100% canadiense RESIN-7. - Ejes Tensor 6.0 pulgadas - Rodamientos ABEC 7. - Ruedas Duster 65mm 78A. - Lija transparente crystal.Estilo: 7HS200-MT21","https://rusty.cl/volcom-skate-cruiser-y-longboard-longboard-duster-cruisin-nomad-371000150235alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs200-mt21_1.jpg","139990.00 CLP","","","Rusty","","","","",""
"1000158019","in stock","new","Longboard Duster Channel Felix 34","Composicion: Madera 7 Capas Empiece a navegar por las calles con el Duster's Channel Felix Longboard 9.125 x 34. Una patineta completa prefabricada de alta calidad para pasear por las calles. Cuenta con una de plumero de la cubierta, gota a través Slant 180 mm perno rey inversa camiones, de Duster 78A 71mm ruedas de crucero, Abec 7 rodamientos y del plumero de lija. Completamente ensamblado y listo para rodar directamente de la caja. Caracteristicas Ancho - 9.125' Longitud - 34' Distancia entre ejes: 24' Ejes inclinados con pivote central inverso de 180 mm Ruedas Dusters 78A 71mm plumeros lija Abec 7 rodamientosEstilo: 7HS316-UT21","https://rusty.cl/skate-longboard-duster-channel-felix-34-1000158019.html","https://rusty.cl/media/catalog/product/7/h/7hs316-ut21-felix-0.jpg","149990.00 CLP","","","Rusty","","","","",""
"1000168167Alt 1","in stock","new","CRUISER BIG BLAZER - 32'","Estilo de Color=LisoComposicion: Arce 7 CapasEl Big Blazer es un cruiser de cola de diamante de longitud media con ruedas cónicas blandas. Viene en tamaño 32 X 9.125 X 17.75 wb con una lija negra troquelada y un arte de lámina de prisma. Tiene camiones de aleación Tensor 6.0 y ruedas Conical Cruiser de 62 mm 78a. • 32” X 9.125” X 17.75” WB • Cubierta de arce de roca dura Resin-7 • Ejes de aleación Tensor de 6.0” • Cojinetes de globo Abec-7 • Ruedas de 62 mm 78a7HS279-UT22","https://rusty.cl/skateboard-cruiser-big-blazer-32-1000168167alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs279-ut22_1_ok.jpg","159990.00 CLP","","","Rusty","","","Multicolor","",""
"1000168175Alt 1","in stock","new","CRUISER BLAZER XL - 36.25'","Estilo de Color=LisoComposicion: BambooLa Blazer XL es una GLOBE de cola de diamante de gran longitud con abridor de botellas incorporado y ruedas cónicas blandas. Está disponible en tamaño 36.25' x 9.75' x 21.5 'WB. Está hecho de bambú. Tiene un cóncavo suave con cola de patada y aleación Tensor de 6.0' trucks con ruedas de 62mm 78a. Cuenta con una empuñadura de emisión clara y arte de incrustación de tela. - 36,25' x 9,75' x 21,5 'WB - Construcción de cubiertas de bambú • 6.0” Tensor alloy trucks - Globe Rodamientos Abec-7 - Ruedas cónicas Cruiser de 62 mm 78a7HS283-UT22","https://rusty.cl/skateboard-cruiser-blazer-xl-36-25-1000168175alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs283-ut22_1_ok.jpg","169990.00 CLP","","","Rusty","","","","",""
"1000168177Alt 1","in stock","new","CRUISER BLAZER XL - 36.25'","Estilo de Color=LisoComposicion: BambooLa Blazer XL es una GLOBE de cola de diamante de gran longitud con abridor de botellas incorporado y ruedas cónicas blandas. Está disponible en tamaño 36.25' x 9.75' x 21.5 'WB. Está hecho de bambú. Tiene un cóncavo suave con cola de patada y aleación Tensor de 6.0' trucks con ruedas de 62mm 78a. Cuenta con una empuñadura de emisión clara y arte de incrustación de tela. - 36,25' x 9,75' x 21,5 'WB - Construcción de cubiertas de bambú • 6.0” Tensor alloy trucks - Globe Rodamientos Abec-7 - Ruedas cónicas Cruiser de 62 mm 78a7HS284-UT22","https://rusty.cl/skateboard-cruiser-blazer-xl-36-25-1000168177alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs284-ut22_1_ok.jpg","179990.00 CLP","","","Rusty","","","","",""
"1000168203Alt 1","in stock","new","SKATE COMPLETO G1 STACK 8.375'","Estilo de Color=LisoComposicion: Arce 7 CapasEl G1 Stack en color Black/Candy Clouds viene en un tamaño de 8.375' X 32' x 14.25' wb. Nuestro completo estándar de resina 7. Es un cóncavo completo hecho de arce de roca dura Resin-7. Cuenta con camiones de aleación Tensor de 5.5' y ruedas de 53 mm 99a. Lija negra dividida. • 8,375' x 32' x 14,25' WB • Arce de roca dura Resin-7 • Ejes de aleación Tensor de 5,5' • Cojinetes de globo Abec-7 • Ruedas 99a de 53 mm7HS297-UT22","https://rusty.cl/skateboard-skate-completo-g1-stack-8-375-1000168203alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs297-ut22_1_ok.jpg","99990.00 CLP","","","Rusty","","","","",""
"1000174959Green","in stock","new","PARKA QUILTED GREEN","Composición: 100% NylonEstilo de Color: LisoTecnologia: Waterproof Estilo: 7PK175-MI22Peso Aproximado: 0.780 Kg","https://rusty.cl/vestuario-chaquetas-parka-quilted-green-1000174959green.html","https://rusty.cl/media/catalog/product/7/p/7pk175-mi22lisogreen-1.jpg","33990.00 CLP","","","Rusty","","","","",""
"1000174954Multicolored","in stock","new","CHAQUETA SOLDIER CASUAL","Composición: 100% Poliéster DobbyEstilo de Color: Full PrintTecnologia: Waterproof Estilo: 7K182-MI22Peso Aproximado: 0.820 Kg","https://rusty.cl/vestuario-chaquetas-chaqueta-soldier-casual-1000174954multicolored.html","https://rusty.cl/media/catalog/product/7/k/7k182-mi22fullprintmcolor-1.jpg","38990.00 CLP","","","Rusty","","","","",""
"1000177454Dark Red","in stock","new","GORRO Our kind Beanie","Estilo de Color: LisoComposición: 100% Acrylic Estilo: 7G442-MI22Peso Aproximado: 0.060 Kg","https://rusty.cl/accesorios-jockeys-gorro-our-kind-beanie-1000177454dark-red.html","https://rusty.cl/media/catalog/product/7/g/7g442-mi22lisodarkred-1.jpg","3990.00 CLP","","","Rusty","","","Rojo","",""
"1000177455Grey Melange","in stock","new","GORRO Our kind Beanie","Estilo de Color: LisoComposición: 100% Acrylic Estilo: 7G442-MI22Peso Aproximado: 0.060 Kg","https://rusty.cl/accesorios-jockeys-gorro-our-kind-beanie-1000177455grey-melange.html","https://rusty.cl/media/catalog/product/7/g/7g442-mi22lisogreymel-1.jpg","3990.00 CLP","","","Rusty","","","Gris","",""
"1000168169Alt 1","in stock","new","CRUISER GLOBE BIG BLAZER DARKSIDE 32'","7HS280-UT22","https://rusty.cl/cruiser-globe-big-blazer-darkside-32-2.html","https://rusty.cl/media/catalog/product/7/h/7hs279-ut22_1_ok_1.jpg","159990.00 CLP","","","Rusty","","","","",""
"1000174969Dark Grey","in stock","new","CHAQUETA BLACK BOMBER","Composición: 100% Poliéster DobbyEstilo de Color: LisoTecnologia: 3000 Waterproof Estilo: 7K177-MI22Peso Aproximado: 0.820 Kg","https://rusty.cl/vestuario-chaquetas-chaqueta-black-bomber-1000174969dark-grey.html","https://rusty.cl/media/catalog/product/7/k/7k177-mi22lisodgrey-1_1.jpg","38990.00 CLP","","","Rusty","","","","",""
"1000174974Multicolored","in stock","new","CHAQUETA MIMETIZED BOMBER","Composición: 100% Poliéster DobbyEstilo de Color: Full PrintTecnologia: 3000 Waterproof Estilo: 7K178-MI22Peso Aproximado: 0.820 Kg","https://rusty.cl/vestuario-chaquetas-chaqueta-mimetized-bomber-1000174974multicolored.html","https://rusty.cl/media/catalog/product/7/k/7k178-mi22fullprintmcolor-1.jpg","41990.00 CLP","","","Rusty","","","","",""
"1000174979Dark Grey","in stock","new","CHAQUETA GREY BOMBER","Composición: 100% Poliéster DobbyEstilo de Color: LisoTecnologia: 3000 Waterproof Estilo: 7K179-MI22Peso Aproximado: 0.820 Kg","https://rusty.cl/vestuario-chaquetas-chaqueta-grey-bomber-1000174979dark-grey.html","https://rusty.cl/media/catalog/product/7/k/7k179-mi22lisodgrey-1.jpg","38990.00 CLP","","","Rusty","","","","",""
"1000174984Green","in stock","new","CHAQUETA FORCE GREEN","Composición: 100% Poliéster DobbyEstilo de Color: LisoTecnologia: 3000 Waterproof Estilo: 7K180-MI22Peso Aproximado: 0.820 Kg","https://rusty.cl/vestuario-chaquetas-chaqueta-force-green-1000174984green.html","https://rusty.cl/media/catalog/product/7/k/7k180-mi22lisogreen-1.jpg","43990.00 CLP","","","Rusty","","","","",""
"1000191996LightBlue","in stock","new","RST LINES SS TEE","Estilo de Color:LisoComposicion: 60%ALGODÓN / 40%POLIESTERColor: CelesteEstilo: 7P344-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-rst-lines-ss-tee-1000191996lightblue.html","https://rusty.cl/media/catalog/product/7/p/7p344-mv23lisolblue-1.jpg","7990.00 CLP","","","Rusty","","","Celeste","",""
"1000189668Navy","in stock","new","RST LINE HOODIE","Estilo de Color:LisoComposicion: 60%ALGODÓN / 40%POLIESTERColor: AzulEstilo: 7O357-MV23Peso Aprox: 0.700","https://rusty.cl/vestuario-hombre-rst-line-hoodie-1000189668navy.html","https://rusty.cl/media/catalog/product/7/o/7o357-mv23lisonavy-1.jpg","24490.00 CLP","","","Rusty","","","Azul","",""
"1000189669Red","in stock","new","RST LINE HOODIE","Estilo de Color:LisoComposicion: 60%ALGODÓN / 40%POLIESTERColor: RojoEstilo: 7O357-MV23Peso Aprox: 0.700","https://rusty.cl/vestuario-hombre-rst-line-hoodie-1000189669red.html","https://rusty.cl/media/catalog/product/7/o/7o357-mv23lisored-1.jpg","24490.00 CLP","","","Rusty","","","Rojo","",""
"1000205494Multicolored","in stock","new","RST ROCK DYE","Estilo de Color:MulticolorComposicion: 60%ALGODÓN / 40%POLIESTERColor: MulticolorEstilo: 7P559-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-rst-rock-dye-1000205494multicolored.html","https://rusty.cl/media/catalog/product/7/p/7p559-mv23multicolormcolor-1.jpg","7990.00 CLP","","","Rusty","","","","",""
"1000205524Multicolored","in stock","new","RST RGB PORTAL DYE","Estilo de Color:MulticolorComposicion: 0Color: MulticolorEstilo: 7P564-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-rst-rgb-portal-dye-1000205524multicolored.html","https://rusty.cl/media/catalog/product/7/p/7p564-mv23multicolormcolor-1.jpg","7990.00 CLP","","","Rusty","","","","",""
"1000191875Black","in stock","new","Kapak Inti Raymi SS tee","Estilo de Color:LisoComposicion: 60%ALGODÓN / 40%POLIESTERColor: NegroEstilo: 7P342-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-kapak-inti-raymi-ss-tee-1000191875black.html","https://rusty.cl/media/catalog/product/7/p/7p342-mv23lisoblack-1_1.jpg","7990.00 CLP","","","Rusty","","","Negro","",""
"1000191876Denim","in stock","new","Kapak Inti Raymi SS tee","Estilo de Color:LisoComposicion: 60%ALGODÓN / 40%POLIESTERColor: DenimEstilo: 7P342-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-kapak-inti-raymi-ss-tee-1000191876denim.html","https://rusty.cl/media/catalog/product/7/p/7p342-mv23lisodenim-1.jpg","7990.00 CLP","","","Rusty","","","Denim","",""
"1000191995Bordeaux","in stock","new","Rst Lines SS tee","Estilo de Color:LisoComposicion: 60%ALGODÓN / 40%POLIESTERColor: BurdeoEstilo: 7P344-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-rst-lines-ss-tee-1000191995bordeaux.html","https://rusty.cl/media/catalog/product/7/p/7p344-mv23lisobordeaux-1.jpg","7990.00 CLP","","","Rusty","","","Burdeo","",""
"1000205512Multicolored","in stock","new","RST MARMOLED DYE","Estilo de Color:MulticolorComposicion: 60%ALGODÓN / 40%POLIESTERColor: MulticolorEstilo: 7P562-MV23Peso Aprox: 0.180","https://rusty.cl/vestuario-hombre-rst-marmoled-dye-1000205512multicolored.html","https://rusty.cl/media/catalog/product/7/p/7p562-mv23multicolormcolor-1.jpg","7990.00 CLP","","","Rusty","","","Multicolor","",""
"1000207162Blue","in stock","new","Big R Cap","Estilo de Color:LisoComposicion: 0Color: AzulEstilo: 7AJ600-MV23Peso Aprox: 0.200","https://rusty.cl/vestuario-hombre-big-r-cap-1000207162blue.html","https://rusty.cl/media/catalog/product/7/a/7aj600-mv23lisoblue-1.jpg","19990.00 CLP","","","Rusty","","","Azul","",""
"1000207164Black","in stock","new","Rusty theory Cap","Estilo de Color:LisoComposicion: 0Color: NegroEstilo: 7AJ601-MV23Peso Aprox: 0.200","https://rusty.cl/vestuario-hombre-rusty-theory-cap-1000207164black.html","https://rusty.cl/media/catalog/product/7/a/7aj601-mv23lisoblack-1.jpg","19990.00 CLP","","","Rusty","","","Negro","",""
"1000207178GreyMelange","in stock","new","ORIGINAL SPIRAL TRUCKER","Estilo de Color:LisoComposicion: 0Color: GrisEstilo: 7AJ606-MV23Peso Aprox: 0.200","https://rusty.cl/vestuario-hombre-original-spiral-trucker-1000207178greymelange.html","https://rusty.cl/media/catalog/product/g/o/gorro_1.jpg","16990.00 CLP","","","Rusty","","","","",""
"1000207180Multicolored","in stock","new","TRIBAL OUR KIND TRUCKER","Estilo de Color:FullComposicion: 0Color: MulticolorEstilo: 7AJ607-MV23Peso Aprox: 0.200","https://rusty.cl/vestuario-hombre-tribal-our-kind-trucker-1000207180multicolored.html","https://rusty.cl/media/catalog/product/7/a/7aj607-mv23fullprintmcolor-1.jpg","16990.00 CLP","","","Rusty","","","Multicolor","",""
"1000207184Black","in stock","new","RAIO C","Estilo de Color:FullComposicion: 0Color: NegroEstilo: 7AJ609-MV23Peso Aprox: 0.200","https://rusty.cl/vestuario-hombre-raio-c-cap-1000207184black.html","https://rusty.cl/media/catalog/product/7/a/7aj609-mv23fullprintblack-1.jpg","16990.00 CLP","","","Rusty","","","Negro","",""
"1000212174Multicolor","in stock","new","Sandalias 7S629","Estilo de Color=FullComposicion: INSOLE: EVA - STRAP: PVCPeso=0.280Estilo=7S629-MV23","https://rusty.cl/hombre-calzado-sandalias-multicolor-7s629-1000212174.html","https://rusty.cl/media/catalog/product/7/s/7s629-mv23fullprintmcolor-1.jpg","9990.00 CLP","","","Rusty","","","","",""
"1000212182Multicolor","in stock","new","Sandalias 7S630","Estilo de Color=FullComposicion: INSOLE: EVA - STRAP: PVCPeso=0.280Estilo=7S630-MV23","https://rusty.cl/hombre-calzado-sandalias-multicolor-7s630-1000212182.html","https://rusty.cl/media/catalog/product/7/s/7s630-mv23fullprintmcolor-1.jpg","9990.00 CLP","","","Rusty","","","","",""
"1000212190Multicolor","in stock","new","Sandalias 7S631","Estilo de Color=FullComposicion: INSOLE: EVA - STRAP: PVCPeso=0.280Estilo=7S631-MV23","https://rusty.cl/hombre-calzado-sandalias-multicolor-7s631-1000212190.html","https://rusty.cl/media/catalog/product/7/s/7s631-mv23fullprintmcolor-1.jpg","9990.00 CLP","","","Rusty","","","","",""
"1000212214Negro","in stock","new","Sandalias Strap Ancho 7S634","Estilo de Color=LisoComposicion: INSOLE: EVA - STRAP: SYNTHETIC Peso=0.280Estilo=7S634-MV23","https://rusty.cl/hombre-calzado-sandalias-negro-7s634-1000212214.html","https://rusty.cl/media/catalog/product/7/s/7s634-mv23lisoblack-1.jpg","14990.00 CLP","","","Rusty","","","","",""
"1000212230Multicolor","in stock","new","Sandalias 7S636","Estilo de Color=LisoComposicion: INSOLE: EVA - STRAP: SYNTHETIC Peso=0.280Estilo=7S636-MV23","https://rusty.cl/hombre-calzado-sandalias-multicolor-7s636-1000212230.html","https://rusty.cl/media/catalog/product/7/s/7s636-mv23lisomcolor-1.jpg","14990.00 CLP","","","Rusty","","","","",""
"1000212246Multicolor","in stock","new","Sandalias 7S638","Estilo de Color=LisoComposicion: INSOLE: EVA - STRAP: SYNTHETIC Peso=0.280Estilo=7S638-MV23","https://rusty.cl/hombre-calzado-sandalias-multicolor-7s638-1000212246.html","https://rusty.cl/media/catalog/product/7/s/7s638-mv23lisomcolor-1.jpg","14990.00 CLP","","","Rusty","","","","",""
"1000212254Multicolor","in stock","new","Sandalias 7S639","Estilo de Color=LisoComposicion: INSOLE: EVA - STRAP: SYNTHETIC Peso=0.280Estilo=7S639-MV23","https://rusty.cl/hombre-calzado-sandalias-multicolor-7s639-1000212254.html","https://rusty.cl/media/catalog/product/7/s/7s639-mv23lisomcolor-1_1.jpg","14990.00 CLP","","","Rusty","","","","",""
"1000193370Alt 1","in stock","new","Cruiser Chromantic 33' Uluwatu","El Chromantic en Uluwatu es un Cruiser de cola de golondrina inspirado en el surf que presenta un cóncavo suave con cola de patada. Con una plataforma de arce de roca dura Resin-7 de longitud media, camiones de aleación Tensor de 6.0 ', ruedas de 62 mm 78a y agarre de transmisión transparente. Estilo: 7HS404-UT22","https://rusty.cl/skateboard-cruiser-chromantic-33-uluwatu-1000193370alt-1.html","https://rusty.cl/media/catalog/product/7/h/7hs404-ut22-1.jpg","159990.00 CLP","","","Rusty","","","Multicolor","",""
