id,availability,condition,title,description,link,image_link,price,gtin,mpn,brand,item_group_id,google_product_category,color,material,pattern
"22591406611714_Cafe","in stock","new","Cinturon 5AV171","EstilodeColor: PUComposicion: PU(POLYURETHANE)Peso Aproximado: 0.280 kg","https://mauiandsons.cl/22591406611714-cafe-cinturon-5av171.html","https://mauiandsons.cl/media/catalog/product/5/a/5av171-mv19_1_1.jpg","12990.00 CLP","","","Maui and Sons","","","Cafe","",""
"1000110838Gri","in stock","new","Trucks de Skate Tensor Alum Raw 5.25'","Trucks de SkateColor: GrisEstilo: 7HS400-MV20Peso Aproximado: 0.600 kg","https://mauiandsons.cl/1000110838gri_trucks de skate tensor alum raw 7hs400.html","https://mauiandsons.cl/media/catalog/product/7/h/7hs400-mv20_1_4.jpg","39990.00 CLP","","","Maui and Sons","","","","",""
"1000081405Mul","in stock","new","Longboard Globe 7HS198","Tamaño: 35'x 9' x 24.75'WB.Tabla: hard rock mapleRuedas: 70mm 83ARodamientos: ABEC 7Trucks Slant aluminum reverse kingpinPeso Aproximado: kg","https://mauiandsons.cl/1000081405mul-longboard-globe-7hs198.html","https://mauiandsons.cl/media/catalog/product/7/h/7hs198-mt20_1_3.jpg","159990.00 CLP","","","Maui and Sons","","","","",""
"1000062085Gri","in stock","new","Trucks 5.25' Skate Tensor 7HS171","Trucks de SkateMedida: 5.25'Modelo: Tensor Alum Raw 5.25Ideal para tablas 8.0'Material: AluminioViene el juego con los dos trucksColor: GrisEstilo: 7HS171-MT20Peso Aproximado: 0.240 kg","https://mauiandsons.cl/1000062085gri-trucks-5-25-skate-tensor-7hs171.html","https://mauiandsons.cl/media/catalog/product/7/h/7hs171-mt20_1_3.jpg","36990.00 CLP","","","Maui and Sons","","","Gris","",""
"1000062083Gri","in stock","new","Trucks 5.25' Skate Tensor 7HS170","Trucks de SkateMedida: 5.25'Modelo: Tensor Alum Mirror 5.25Ideal para tablas 8.0'Material: AluminioViene el juego con los dos trucksColor: GrisEstilo: 7HS170-MT20Peso Aproximado: 0.240 kg","https://mauiandsons.cl/1000062083gri_trucks 5.25' skate tensor 7hs170.html","https://mauiandsons.cl/media/catalog/product/7/h/7hs170-mt20_1_3.jpg","36990.00 CLP","","","Maui and Sons","","","Gris","",""
"8175140811Gri","in stock","new","Lija de Skate Mob 7AS746","Medida : 9.0 x 33 Color: GrisEstilo: 7AS746-8848848-7439-MT15Peso Aproximado: 0.280 kg","https://mauiandsons.cl/8175140811gri-lija-de-skate-mob-7as746.html","https://mauiandsons.cl/media/catalog/product/7/a/7as746-8848848-7439-mt15_1_3.png","6990.00 CLP","","","Maui and Sons","","","","",""
"8276140871Neg","in stock","new","Lija Skate Mob 7AS578","Lija negraMedidas: 9.0 X 33Peso Aproximado: 0.280 kg","https://mauiandsons.cl/8276140871neg_lija skate mob 7as578.html","https://mauiandsons.cl/media/catalog/product/7/a/7as746-8848848-7439-mt15_1_3.png","6990.00 CLP","","","Maui and Sons","","","","",""
"8175140871Bla","in stock","new","Ruedas Skate Chocolate 7AS317","Medida: 52mmPeso Aproximado: 0.280 kg","https://mauiandsons.cl/8175140871bla_ruedas skate chocolate 7as317.html","https://mauiandsons.cl/media/catalog/product/7/a/7as317-mt15_1_3.jpg","17490.00 CLP","","","Maui and Sons","","","","",""
"1000155505_conf","in stock","new","CRUISER CHROMANTIC TIGER GLOBE","Dimensiones: 33' x 9.5' x 22.25' WBAlmohadilla trasera de EVARuedas de 62mm 78aAgarre de transmisión claroPeso Aproximado: kg","https://mauiandsons.cl/1000155505-cruiser-chromantic-tiger-globe-7hs254-ut21.html","https://mauiandsons.cl/media/catalog/product/1/0/10525055_tigcamo_1024x1024_2x.jpg","149990.00 CLP","","","Maui and Sons","","","","",""
"1000155519_conf","in stock","new","CRUISER BLAZER XL GLOBE","6.0' Tensor Alloy trucksRuedas: 62mm 78a Cinta de agarre negra con estampadoPeso Aproximado: kgMedidas: 36.25'' x 9.75'' x 21.5''","https://mauiandsons.cl/1000155519-cruiser-blazer-xl-globe-7hs263-ut21.html","https://mauiandsons.cl/media/catalog/product/1/0/10525288_highrd_1024x1024_2x.jpg","169990.00 CLP","","","Maui and Sons","","","","",""
"1000155527_conf","in stock","new","CRUISER BLAZER TORTOISE GLOBE","Dimensiones: 26' x 7.25' x 13.75' WB4.25' Tensor alloy trucksRuedas de 62mm 78aIncrustaciones de perlas blancasPeso Aproximado: kg","https://mauiandsons.cl/1000155527-cruiser-blazer-tortoise-globe-7hs267-ut21.html","https://mauiandsons.cl/media/catalog/product/1/0/10525125_tort_1024x1024_2x.jpg","149990.00 CLP","","","Maui and Sons","","","","",""
"1000121518Multicolored","in stock","new","Camisa MC RETRO SIGN","Composicion: 100% AlgodónEstilo de Color: Full PrintTipo Manga: Manga CortaPeso Aproximado: 0.600 kg","https://mauiandsons.cl/1000121518multicoloredcamisa-5c906-5c906-mv22.html","https://mauiandsons.cl/media/catalog/product/5/c/5c906-mv22fullprintmcolor_1_4.jpg","22990.00 CLP","","","Maui and Sons","","","","",""
"1000121558Multicolored","in stock","new","Camisa MC DIVERSLEAF","Composicion: 100% AlgodónEstilo de Color: Full PrintTipo Manga: Manga CortaPeso Aproximado: 0.600 kg","https://mauiandsons.cl/1000121558multicoloredcamisa-5c926-5c926-mv22.html","https://mauiandsons.cl/media/catalog/product/5/c/5c926-mv22fullprintmcolor_1.jpg","22990.00 CLP","","","Maui and Sons","","","Multicolor","",""
"1000136524Blue","in stock","new","Bermuda Hibrido DYE LOOK","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: Full PrintTipo Short: H√≠bridoPeso Aproximado: 0.160 kg","https://mauiandsons.cl/1000136524bluebermuda-hibrido-5b872-5b872-mv22.html","https://mauiandsons.cl/media/catalog/product/5/b/5b872-mv22fullprintblue_1.jpg","27990.00 CLP","","","Maui and Sons","","","Azul","",""
"1000136525Dark_Grey","in stock","new","Bermuda Hibrido DYE LOOK","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: Full PrintTipo Short: H√≠bridoPeso Aproximado: 0.160 kg","https://mauiandsons.cl/1000136525dark-greybermuda-hibrido-5b872-5b872-mv22.html","https://mauiandsons.cl/media/catalog/product/5/b/5b872-mv22fullprintdgrey_1.jpg","27990.00 CLP","","","Maui and Sons","","","Gris Oscuro","",""
"1000121493Multicolored","in stock","new","Camisa MC BOB","Composicion: 100% AlgodónEstilo de Color: Full PrintTipo Manga: Manga CortaPeso Aproximado: 0.180 kg","https://mauiandsons.cl/1000121493multicolored-camisa-5c901-5c901-mv22.html","https://mauiandsons.cl/media/catalog/product/5/c/5c901-mv22fullprintmcolor_1.jpg","22990.00 CLP","","","Maui and Sons","","","","",""
"1000121498Multicolored","in stock","new","Camisa MC MTRX","Composicion: 100% AlgodónEstilo de Color: Full PrintTipo Manga: Manga CortaPeso Aproximado: 0.180 kg","https://mauiandsons.cl/1000121498multicolored-camisa-5c902-5c902-mv22.html","https://mauiandsons.cl/media/catalog/product/5/c/5c902-mv22fullprintmcolor_1.jpg","22990.00 CLP","","","Maui and Sons","","","","",""
"1000136510Navy","in stock","new","Bermuda Hibrido CHINO LAX","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: LisoTipo Short: H√≠bridoPeso Aproximado: 0.450 kg","https://mauiandsons.cl/1000136510navy-bermuda-5b871-5b871-mv22.html","https://mauiandsons.cl/media/catalog/product/5/b/5b871-mv22lisonavy_1.jpg","27990.00 CLP","","","Maui and Sons","","","Azul","",""
"1000139423Multicolored","in stock","new","Jardinera ANIMAL OVERALL SKIRT","Composicion: 100% ViscosaEstilo de Color: Full PrintCategoria Lady: JardinerasPeso Aproximado: 0.300 kg","https://mauiandsons.cl/1000139423multicolored-jardinera-5l919-5l919-wv22.html","https://mauiandsons.cl/media/catalog/product/5/l/5l919-wv22fullprintmcolor_1.jpg","32990.00 CLP","","","Maui and Sons","","","","",""
"1000131254Multicolored","in stock","new","Traje de Baño BLUE JUNGLE","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: Full PrintTipo traje de baño: VortexPeso Aproximado: 0.240 kg","https://mauiandsons.cl/1000131254multicolored-traje-de-ba-o-5t802-5t802-mv22-multicolor.html","https://mauiandsons.cl/media/catalog/product/5/t/5t802-mv22fullprintmcolor_1.jpg","27990.00 CLP","","","Maui and Sons","","","","",""
"1000131380Multicolored","in stock","new","Traje De Baño OLELO HAWAII","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: Full PrintTipo traje de baño: VortexPeso Aproximado: 0.240 kg","https://mauiandsons.cl/1000131380multicolored-traje-de-ba-o-olelo-hawaii-5t805-mv22-multicolor.html","https://mauiandsons.cl/media/catalog/product/5/t/5t805-mv22fullprintmcolor_1.jpg","27990.00 CLP","","","Maui and Sons","","","Multicolor","",""
"1000131611Multicolored","in stock","new","Traje de Baño DARK CALIFORNIA","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: Full PrintTipo traje de baño: VortexPeso Aproximado: 0.240 kg","https://mauiandsons.cl/1000131611multicolored-traje-de-ba-o-5t795-5t795-mv22-multicolor.html","https://mauiandsons.cl/media/catalog/product/5/t/5t795-mv22fullprintmcolor_1.jpg","27990.00 CLP","","","Maui and Sons","","","Multicolor","",""
"1000141380Denim","in stock","new","Jockey Acid M","Composicion: 60% Algodón/40% PoliésterEstilo de Color: LisoTipo Headguards: JockeyTipo Jockey: CurvosEstilo: 5AJ1308-MV22Peso Aproximado: 0.200 kg","https://mauiandsons.cl/1000141380denim-jockey-acid-m-5aj1307-mv22-denim.html","https://mauiandsons.cl/media/catalog/product/5/a/5aj1307-mv22lisodenim_1.jpg","14990.00 CLP","","","Maui and Sons","","","","",""
"1000141418Grey_Melange","in stock","new","Jockey BLK Cat","Composicion: 80% Acrílico/20% LanaEstilo de Color: LisoTipo Headguards: JockeyTipo Jockey: SnapbackEstilo: 5AJ1323-MV22Peso Aproximado: 0.200 kg","https://mauiandsons.cl/1000141418grey-melange-jockey-blk-cat-5aj1322-mv22-gris.html","https://mauiandsons.cl/media/catalog/product/5/a/5aj1322-mv22lisogreymel_1.jpg","14990.00 CLP","","","Maui and Sons","","","","",""
"1000141440Military_Green","in stock","new","Jockey Camo Alert","Composicion: 70% Acrílico/30% AlgodónEstilo de Color: Full PrintTipo Headguards: JockeyTipo Jockey: SnapbackEstilo: 5AJ1333-MV22Peso Aproximado: 0.200 kg","https://mauiandsons.cl/1000141440military-green-jockey-camo-alert-5aj1332-mv22-verde-militar.html","https://mauiandsons.cl/media/catalog/product/5/a/5aj1332-mv22fullprintmilitary_1.jpg","14990.00 CLP","","","Maui and Sons","","","","",""
"1000141448Blue","in stock","new","Jockey Fisherman","Composicion: 100% AlgodonEstilo de Color: Full PrintTipo Headguards: JockeyTipo Jockey: SnapbackEstilo: 5AJ1337-MV22Peso Aproximado: 0.200 kg","https://mauiandsons.cl/1000141448blue-jockey-fisherman-5aj1336-mv22-azul.html","https://mauiandsons.cl/media/catalog/product/5/a/5aj1336-mv22fullprintblue_1.jpg","14990.00 CLP","","","Maui and Sons","","","","",""
"1000135133Navy","in stock","new","Bermuda CHINO FIT","Composicion: 98% Algodón/ 2% SpandexEstilo de Color: LisoTipo Short: ChinoPeso Aproximado: 0.450 kg","https://mauiandsons.cl/1000135133navy-bermuda-5b818-5b818-mv22-azul-marino.html","https://mauiandsons.cl/media/catalog/product/5/b/5b818-mv22lisonavy_1.jpg","27990.00 CLP","","","Maui and Sons","","","","",""
"1000135134Beige Taupe","in stock","new","Bermuda CHINO FIT","Composicion: 98% Algodón/ 2% SpandexEstilo de Color: LisoTipo Short: ChinoPeso Aproximado: 0.450 kg","https://mauiandsons.cl/1000135134beige-taupe-bermuda-5b818-5b818-mv22-beige.html","https://mauiandsons.cl/media/catalog/product/5/b/5b818-mv22lisobtaupe_1.jpg","27990.00 CLP","","","Maui and Sons","","","","",""
"1000131339Multicolored","in stock","new","Traje De Baño RETRO SHARK","Composicion: 90% Poliéster/ 10% ElastanoEstilo de Color: Full PrintTipo traje de baño: VortexEstilo: 5T803-MV22Peso Aproximado: 0.240 kg","https://mauiandsons.cl/hombre-vestuario-trajes-de-ba-o-traje-de-ba-o-retro-shark-1000131339multicolored.html","https://mauiandsons.cl/media/catalog/product/5/t/5t803-mv22fullprintmcolor_1.jpg","27990.00 CLP","","","Maui and Sons","","","","",""
"1000152306Multicolored","in stock","new","Billetera Tropi Lite Wallet","Composicion: PoliuretanoEstilo de Color: Full PrintEstilo: 5AB155-MT22Peso Aproximado: 0.220 kg","https://mauiandsons.cl/hombre-accesorios-billeteras-billetera-tropi-lite-wallet-1000152306multicolored.html","https://mauiandsons.cl/media/catalog/product/5/a/5ab155-mt22fullprintmcolor_1.jpg","12990.00 CLP","","","Maui and Sons","","","Multicolor","",""
"1000152308Multicolored","in stock","new","Billetera Locals Lite Wallet","Composicion: PoliuretanoEstilo de Color: Full PrintEstilo: 5AB156-MT22Peso Aproximado: 0.220 kg","https://mauiandsons.cl/hombre-accesorios-billeteras-billetera-locals-lite-wallet-1000152308multicolored.html","https://mauiandsons.cl/media/catalog/product/5/a/5ab156-mt22fullprintmcolor_1.jpg","12990.00 CLP","","","Maui and Sons","","","Multicolor","",""
"1000137932White","in stock","new","Pack Polera Jockey Pack Shark wrinkled","Composicion: Polera: 60% Algodón/40% Poliéster /Jockey: 100% PoliésterEstilo de Color: LisoEstilo: 5AV1224-MV22Peso Aproximado: 0.340 kg","https://mauiandsons.cl/juvenil-vestuario-poleras-pack-polera-jockey-5av1224-1000137932white.html","https://mauiandsons.cl/media/catalog/product/5/a/5av1224-mv22lisowhite_1.jpg","12790.00 CLP","","","Maui and Sons","","","Blanco","",""
"1000137933Red","in stock","new","Pack Polera Jockey Pack Shark wrinkled","Composicion: Polera: 60% Algodón/40% Poliéster /Jockey: 100% PoliésterEstilo de Color: LisoEstilo: 5AV1224-MV22Peso Aproximado: 0.340 kg","https://mauiandsons.cl/juvenil-vestuario-poleras-pack-polera-jockey-5av1224-1000137933red.html","https://mauiandsons.cl/media/catalog/product/5/a/5av1224-mv22lisored_1.jpg","12790.00 CLP","","","Maui and Sons","","","Rojo","",""
"1000152270Multicolored","in stock","new","Bolso MK SHOULDER Camo","Composicion: 100% PoliésterEstilo de Color: Full PrintTipo Mochila: BananoEstilo: 5AV123-MT22Peso Aproximado: 0.300 kg","https://mauiandsons.cl/hombre-accesorios-bolsos-y-bananos-bolso-mk-shoulder-camo-1000152270multicolored.html","https://mauiandsons.cl/media/catalog/product/5/a/5av123-mt22fullprintmcolor_1.jpg","12990.00 CLP","","","Maui and Sons","","","Multicolor","",""
"1000152451Brown","in stock","new","Cinturon M&S Belt","Composicion: (PU)PoliuretanoEstilo de Color: LisoEstilo: 5AV137-MT22Peso Aproximado: 0.180 kg","https://mauiandsons.cl/hombre-accesorios-cinturones-cinturon-m-s-belt-1000152451brown.html","https://mauiandsons.cl/media/catalog/product/5/a/5av137-mt22lisobrown_1.jpg","14990.00 CLP","","","Maui and Sons","","","","",""
"1000150777Blue","in stock","new","Traje Agua JUVENIL NITRO-2 3/2MM","Composicion: NeoprenoEstilo de Color: LisoGrosor: 3/2 MMCierre: TraseroTipo de sello: FlatlockGorro: No","https://mauiandsons.cl/juvenil-surf-trajes-de-surf-traje-agua-juvenil-nitro-2-3-2mm-1000150777blue.html","https://mauiandsons.cl/media/catalog/product/5/h/5hb1580-mv22lisoblue-6.jpg","99990.00 CLP","","","Maui and Sons","","","","",""
"1000150778Red","in stock","new","Traje Agua JUVENIL NITRO-2 3/2MM","Composicion: NeoprenoEstilo de Color: LisoGrosor: 3/2 MMCierre: TraseroTipo de sello: FlatlockGorro: No","https://mauiandsons.cl/juvenil-surf-trajes-de-surf-traje-agua-juvenil-nitro-2-3-2mm-1000150778red.html","https://mauiandsons.cl/media/catalog/product/5/h/5hb1580-mv22lisored-1_4.jpg","99990.00 CLP","","","Maui and Sons","","","","",""
"1000152272Black","in stock","new","Bolso MK SHOULDER Stains","Composicion: 100% PoliésterEstilo de Color: Full PrintEstilo: 5AV124-MT22Peso Aproximado: 0.300 kg","https://mauiandsons.cl/hombre-accesorios-bolsos-y-bananos-bolso-mk-shoulder-stains-1000152272black.html","https://mauiandsons.cl/media/catalog/product/5/a/5av124-mt22fulprintblack_1.jpg","12990.00 CLP","","","Maui and Sons","","","Negro","",""
"1000141275Blue","in stock","new","Paletas Playa 5AV1538","Composicion: MaderaEstilo de Color: Full PrintEstilo: 5AV1538-KV22Peso Aproximado: 1116 kg","https://mauiandsons.cl/accesorios-surf-paleta-de-playa-paletas-playa-5av1538-1000141275blue.html","https://mauiandsons.cl/media/catalog/product/5/a/5av1538-kv22fullprintblue_1.jpg","7990.00 CLP","","","Maui and Sons","","","Azul","",""
"1000141275Yellow","in stock","new","Paletas Playa 5AV1538","Composicion: MaderaEstilo de Color: Full PrintEstilo: 5AV1538-KV22Peso Aproximado: 1116 kg","https://mauiandsons.cl/accesorios-surf-paleta-de-playa-paletas-playa-5av1538-1000141275yellow.html","https://mauiandsons.cl/media/catalog/product/5/a/5av1538-kv22fullprintyellow_1.jpg","7990.00 CLP","","","Maui and Sons","","","Amarillo","",""
"1000141275Green","in stock","new","Paletas Playa 5AV1538","Composicion: MaderaEstilo de Color: Full PrintEstilo: 5AV1538-KV22Peso Aproximado: 1116 kg","https://mauiandsons.cl/accesorios-surf-paleta-de-playa-paletas-playa-5av1538-1000141275green.html","https://mauiandsons.cl/media/catalog/product/5/a/5av1538-kv22fullprintgreen_1.jpg","7990.00 CLP","","","Maui and Sons","","","Verde","",""
"1000141275Orange","in stock","new","Paletas Playa 5AV1538","Composicion: MaderaEstilo de Color: Full PrintEstilo: 5AV1538-KV22Peso Aproximado: 1116 kg","https://mauiandsons.cl/accesorios-surf-paleta-de-playa-paletas-playa-5av1538-1000141275orange.html","https://mauiandsons.cl/media/catalog/product/5/a/5av1538-kv22fullprintorange_1.jpg","7990.00 CLP","","","Maui and Sons","","","Naranja","",""
"1000149098Black","in stock","new","CLASSIC SKATE - MATTE BLACK","Composicion: PolietilenoEstilo de Color: LisoDesde tazones hasta medios tubos, desde parques de patinaje hasta patios traseros, Pro-Tec ha pasado las últimas 4 décadas escuchando las necesidades de los patinadores de todo el mundo, con el fin de crear la mejor protección disponible, punto. El Pro-Tec Classic Skate dibuja su línea de diseño directamente en nuestro modelo de casco original. Nuestro forro de espuma suave de 2 etapas y la almohadilla de corona de EVA recién agregada mantienen las cosas cómodas y livianas, lo que lo convierte en el estilo de elección temporada tras temporada. CARCASA • ABS de alto impacto LINER • Espuma de 2 etapas VENTAS • 11 ventilaciones abiertas INTERIOR • Revestimientos de 2 etapas envueltos en Dri-Lex®","https://mauiandsons.cl/skate/skate/accesorios-skate-y-más/classic-skate-matte-black-1000149098black.html","https://mauiandsons.cl/media/catalog/product/7/a/7av164-mt22black_1.jpg","20990.00 CLP","","","Maui and Sons","","","Negro","",""
"1000149101Blue","in stock","new","CLASSIC SKATE - MATTE BLUE","Composicion: PolietilenoEstilo de Color: LisoDesde tazones hasta medios tubos, desde parques de patinaje hasta patios traseros, Pro-Tec ha pasado las últimas 4 décadas escuchando las necesidades de los patinadores de todo el mundo, con el fin de crear la mejor protección disponible, punto. El Pro-Tec Classic Skate dibuja su línea de diseño directamente en nuestro modelo de casco original. Nuestro forro de espuma suave de 2 etapas y la almohadilla de corona de EVA recién agregada mantienen las cosas cómodas y livianas, lo que lo convierte en el estilo de elección temporada tras temporada. CARCASA • ABS de alto impacto LINER • Espuma de 2 etapas VENTAS • 11 ventilaciones abiertas INTERIOR • Revestimientos de 2 etapas envueltos en Dri-Lex®","https://mauiandsons.cl/skate/skate/accesorios-skate-y-más/classic-skate-matte-blue-1000149101blue.html","https://mauiandsons.cl/media/catalog/product/7/a/7av167-mt22blue_1.jpg","20990.00 CLP","","","Maui and Sons","","","Azul","",""
"1000149104Olive","in stock","new","CLASSIC SKATE - MATTE OLIVE","Composicion: PolietilenoEstilo de Color: LisoPro-Tec es la marca original de protección para deportes de acción, y el Classic Skate Helmet es donde todo comenzó en 1973. Con protección de primera línea y el estilo inconfundible de Pro-Tec, sigue mejorando con la edad. La carcasa de ABS a menudo imitada ofrece protección de alto impacto y un estilo icónico de bajo perfil. En el interior, nuestro forro de espuma de dos etapas y la almohadilla de corona de EVA recién agregada garantizan la combinación perfecta de comodidad y protección. Y dado que todos nuestros productos están diseñados, probados e inspirados por nuestro equipo de patinaje profesional, Classic Skate puede ayudarte a llevarlo al siguiente nivel. CARCASA • El ABS de alto impacto ofrece una protección ligera y duradera FORRO • La espuma de 2 etapas ofrece una combinación perfecta de protección y comodidad VENTILADORES • 11 orificios de ventilación abiertos permiten que el flujo de aire mantenga la cabeza fresca INTERIOR • Los revestimientos de 2 etapas envueltos en Dri-Lex® absorben la humedad","https://mauiandsons.cl/skate/skate/accesorios-skate-y-más/classic-skate-matte-olive-1000149104olive.html","https://mauiandsons.cl/media/catalog/product/7/a/7av170-mt22olive_1.jpg","23090.00 CLP","","","Maui and Sons","","","Verde","",""
"1000149107Red","in stock","new","CLASSIC SKATE - MATTE BRIGHT RED","Composicion: PolietilenoEstilo de Color: LisoPro-Tec es la marca original de protección para deportes de acción, y el Classic Skate Helmet es donde todo comenzó en 1973. Con protección de primera línea y el estilo inconfundible de Pro-Tec, sigue mejorando con la edad. La carcasa de ABS a menudo imitada ofrece protección de alto impacto y un estilo icónico de bajo perfil. En el interior, nuestro forro de espuma de dos etapas y la almohadilla de corona de EVA recién agregada garantizan la combinación perfecta de comodidad y protección. Y dado que todos nuestros productos están diseñados, probados e inspirados por nuestro equipo de patinaje profesional, Classic Skate puede ayudarte a llevarlo al siguiente nivel. CARCASA • El ABS de alto impacto ofrece una protección ligera y duradera FORRO • La espuma de 2 etapas ofrece una combinación perfecta de protección y comodidad VENTILADORES • 11 orificios de ventilación abiertos permiten que el flujo de aire mantenga la cabeza fresca INTERIOR • Los revestimientos de 2 etapas envueltos en Dri-Lex® absorben la humedad","https://mauiandsons.cl/skate/skate/accesorios-skate-y-más/classic-skate-matte-bright-red-1000149107red.html","https://mauiandsons.cl/media/catalog/product/7/a/7av173-mt22red_1.jpg","23090.00 CLP","","","Maui and Sons","","","Rojo","",""
"1000149112Pink","in stock","new","JR. CLASSIC FIT - MATTE PINK (CERTIFIED)","Composicion: PolietilenoEstilo de Color: LisoNuestro sistema Twist Fit recientemente agregado proporciona un ajuste de trinquete de doble dirección, para un ajuste más personalizado sin tener que meterse con el cambio de forros. También agregamos una hebilla magnética Fid-Lock que es más fácil de usar para los dedos pequeños y elimina esos molestos pellizcos en el cuello. Disponible en 2 tamaños de 47 cm a 54 cm con 2 juegos de almohadillas para un ajuste más personalizado. SHELL • Ofrece ABS de alto impacto REVESTIMIENTO • EPS VENTAS • 11 ventilaciones abiertas INTERIOR • Los revestimientos de 2 etapas envueltos en Dri-Lex® absorben la humedad CERTIFICACIONES • ASTM 1492/1447, CPSC 1203, AS / NZS 2063: 2008, CE 1078","https://mauiandsons.cl/skate/skate/accesorios-skate-y-más/jr.-classic-fit-matte-pink-(certified)-1000149112pink.html","https://mauiandsons.cl/media/catalog/product/7/a/7av178-mt22pink_1.jpg","27990.00 CLP","","","Maui and Sons","","","Rosado","",""
